,CLUMP,monster_score,# motifs,occurrences_pos_dset %,occurrences_neg_dset %
7,7,1.9874805427265294,22,0.18014916810097534,0.0029910269192422734
4,4,1.8990715022113407,31,0.1629374641422834,0.003988035892323031
10,10,1.6326045826320337,10,0.3930005737234653,0.11764705882352941
6,6,1.6298755502698479,32,0.22776821572002295,0.03090727816550349
2,2,1.6125048310282701,26,0.22948938611589215,0.011964107676969093
9,9,1.5250318867588013,13,0.04589787722317843,0.0013293452974410102
5,5,1.2862010783044828,28,0.1285140562248996,0.00033233632436025255
0,0,1.2305447575987105,37,0.18588640275387264,0.005649717514124294
1,1,1.078631508109332,24,0.1589213998852553,0.009305417082087071
3,3,0.7667277472598647,29,0.11703958691910499,
8,8,0.0,13,0.10499139414802065,
